id,word,pronuciation
001,๐,soon
002,๑,neung
003,๒,song
004,๓,saam
005,๔,see
006,๕,haa
007,๖,hok
008,๗,jet
009,๘,bpaet
010,๙,gao
011,๑๐,sib
012,๑๑,sip et
013,๑๒,sip song
014,๑๓,sip saam
015,๑๔,sip see
016,๑๕,sip haa
017,๑๖,sip hok
018,๑๗,sip jet
019,๑๘,sip bpaet
020,๑๙,sip gao
021,๒๐,yee sip
022,๑๐๐,neung roi
023,๑'๐๐๐,neung pan
024,๑๐'๐๐๐,neung neun
025,๑'๐๐๐'๐๐๐,neung lan
026,๑๐๐'๐๐๐'๐๐๐,roi lan
027,๑'๐๐๐'๐๐๐'๐๐๐,pan lan
